Date,Total_Visits,Unique_Visitors,Page_Views,Sessions,Session_Duration,Bounces,Exits
2019-01-01,2531,aeecd31f12681394abee7a47f4e46501,7108,2544,882.54,1102,1439
2019-01-02,3990,fc729071f270201018c403633c4967de,9514,3363,781.12,1170,2133
2019-01-03,8155,e1acc3379cd0498252ec5871c07daa85,9904,7905,631.58,2918,2613
2019-01-04,5493,e08990dcd07a42638a0cd5115da0cbc6,15917,5388,771.8,2134,4015
2019-01-05,1933,541654cf54bf865aa8a769d36e91bce6,3144,2113,750.17,1007,935
2019-01-06,2460,e46aea5d15ce11371c595ab7927fe12a,3428,2794,856.68,606,348
2019-01-07,3723,93f1c2bf168328f81e103728805478ed,9615,3789,759.21,791,1802
2019-01-08,1285,8dc469aefbeb4427170c0ad5d06eff60,2699,1072,676.57,271,408
2019-01-09,1264,317209307ea0a0b7612a55518d555f94,2503,1130,802.69,560,310
2019-01-10,7816,a43fa7769f084202dce934ce086b4d07,12889,6768,762.77,2805,3638
2019-01-11,2762,42f3a921b321f3294627f53abf7db35c,6036,2347,669.91,902,1808
2019-01-12,1040,a8fb26d5232cb11a9111d301bc83106a,1761,984,772.09,210,239
2019-01-13,6827,0f722a71fb3009ce30469cd1e8b01bc9,19271,6088,846.46,2823,2075
2019-01-14,9259,2fb3d8279745071349183da31c0aae4a,14697,8215,608.57,3646,2278
2019-01-15,1987,d502c70910cbd986abffc770f645f524,5547,1633,789.26,652,1480
2019-01-16,8804,063f3e1cf775a7c45f97c14d37f2793e,19429,7105,704.88,2143,3085
2019-01-17,8789,148d24d0bc8bfb57da0de585d3197db7,23653,7392,687.8,1634,2634
2019-01-18,6717,54891a2a965d833597a294ce36485b39,16679,5836,717.78,2182,1843
2019-01-19,4198,353dc3dfd32a89eb196add4ff4e31015,10302,4082,702.61,1697,1910
2019-01-20,6374,2924b7ab1ff6ecc57975d36045275320,11370,6400,849.67,1461,3255
2019-01-21,5790,664dfede23ed07d589d538f811a12b58,9385,4957,682.44,1934,1475
2019-01-22,8183,271bb31eb1d606bb523343312784b6d9,12925,7936,819.95,2269,2396
2019-01-23,3524,c051c7112ba23343a7f9caf6a438b63a,9666,3300,628.22,1417,1163
2019-01-24,3479,1b777e7853116aa1ff0049a6ccc80170,9312,3038,885.42,1099,1850
2019-01-25,6154,35a49c8dcf450f1446da29f219e27ad1,12265,4940,786.69,1179,2935
2019-01-26,1778,3d05ea6c72d60d9b76af54b1af95e70c,2557,1754,812.02,628,394
2019-01-27,2492,fd920954b1021a3dc5421ad4de1d8af0,4705,2677,689.41,853,749
2019-01-28,1660,b01b179bbda7990f24f05d13c59ec4f0,3842,1478,723.63,375,1031
2019-01-29,2348,12db14405ebdfbc1477cfc14a83a6de9,4738,2002,667.13,905,483
2019-01-30,8851,63aa8ccfc0aaedcb24e71e48f8d2359a,23051,10221,879.76,2078,5239
2019-01-31,8156,6e973b0f3ffec66c757c059a2e64e18c,24433,7422,746.43,2179,4368
2019-02-01,3044,2badbe50dd89f5b43b8ef6f6563d1930,4700,2707,789.13,551,750
2019-02-02,8368,f47bebb5a6e216d04c0627ad5b4c6ec2,16965,9563,820.28,2188,3927
2019-02-03,4516,76f9ed8b7ad1fba5b08a2c235aa4bffa,8922,5088,711.33,1471,2381
2019-02-04,5577,da655b9bb9a63b8546bedc21bf95034c,9749,5461,816.03,1181,2063
2019-02-05,1727,61c41705558c1ce18b15cca0ddd7ba76,2688,1719,802.8,651,285
2019-02-06,8468,5c82a9c0c68341c968a9b285571cd6e8,11162,7511,811.7,1698,2146
2019-02-07,1342,86e743132c44c2aed92156f3e09b8d68,3753,1115,746.77,457,722
2019-02-08,2447,6a729876de259c8fefbc06e13ccb4286,4785,2518,714.88,543,999
2019-02-09,7581,878bf3094246b7dd961106f1ee7668cb,15877,6363,666.62,1385,3718
2019-02-10,7317,977bcb88d31ecf4b363c4dd49b410884,20857,7168,847.39,2090,2166
2019-02-11,1526,2d40b4482ebd3413e8adc78c1ff5db97,3963,1794,782.51,841,794
2019-02-12,7748,239e8da3770ca9e719d967cc101478d5,11117,9151,733.31,3591,2419
2019-02-13,1405,35826fd11859203aba359424406fea2f,3115,1258,883.2,542,525
2019-02-14,8986,4e17e46518a8a91d625026567f4089bb,17936,9432,614.35,2286,4191
2019-02-15,4740,e3045209bc7094bdd759bc83c3158baa,12489,4690,855.05,2111,1818
2019-02-16,2846,73a3845f3100d46d0dfb2dd661463ae9,7125,3273,899.27,662,1164
2019-02-17,2478,9f3c18ec84748f9a1940f9e850be08a7,6053,2251,866.08,594,1770
2019-02-18,1771,a8bf656ab185537ca85db484b7dbb7ac,3210,1419,843.13,546,544
2019-02-19,6525,958a8fd3c6f02273fbe35c03ee9c6d28,17284,5644,712.29,1764,2926
2019-02-20,9770,aee687d889d432890e6d3e0b2ab43e3c,12645,9181,669.39,4547,2771
2019-02-21,1193,a1cff5b0fb5d53657b671ea880beaf67,1774,1105,820.46,231,522
2019-02-22,3007,601508cbf97c58f09364150c5b44fded,5424,3357,691.37,1677,1609
2019-02-23,2185,052f82dadeb0474fd009a2a0d9966db1,2924,2342,652.81,906,631
2019-02-24,3394,d3c13bb889a4ea5c0933f6aac8e70367,5508,3121,835.96,1147,552
2019-02-25,5005,3211b7f68c16b97b1b1e7e719e17058d,13484,4920,693.76,1071,3777
2019-02-26,8429,5f4acf37bf79620b4ae75405fa46c539,24501,7065,874.33,1992,5244
2019-02-27,3261,073dd9d22e998693053e0b1204e50a93,5701,3780,852.19,1804,987
2019-02-28,4736,6e7159169743bbd2033b4142be4833cb,7938,5560,854.29,1703,2110
2019-03-01,7716,07d864a35cf27d3d2db2f126d4f0dc04,13146,9196,831.47,3664,2365
2019-03-02,5875,ed8e2340be99bbeeb5ff124f8d9193fd,9986,6741,864.26,3369,1066
2019-03-03,9921,89316f43a3a9ee6d63c244088756497f,12546,8627,841.72,2406,3315
2019-03-04,5378,a946ae267a0ad3da45cc94fe69a67fee,15426,4401,780.75,1641,3226
2019-03-05,8815,c7b521869b0dc7524282e8e9483c775b,13968,9095,688.75,3719,2341
2019-03-06,4451,4c95454d1ef503366aa9e1c8513bb5ab,8706,5185,866.46,1293,1307
2019-03-07,8616,194eaf519ec11c516034073a65c18ec5,10489,7504,852.18,1835,2294
2019-03-08,3800,bc43de76270ba4de0923f95b2251d2fb,10428,3050,741.86,1027,1476
2019-03-09,9333,db482477a686bbc045fd07fa495473b6,23482,10473,611.72,3306,3869
2019-03-10,6410,d449ad3961b0e08f480a451e94bf93e8,18615,5324,791.56,2205,4231
2019-03-11,2455,3edc444d3e3836a6d7b16c88a8b48429,6399,2370,615.18,523,1768
2019-03-12,7892,00226d39cb31a1bdfe897e41000068f9,13926,8456,877.88,4157,2876
2019-03-13,6808,f96ffa74a04de1b69d331b6e808c073b,11207,6091,888.49,1244,2822
2019-03-14,7796,462eee3cd0b7932efd1cc15044efc164,19146,6498,656.85,2472,4836
2019-03-15,5796,ba9ab6b4668cafec15f09c5efca74990,10753,6422,802.92,2368,2504
